time,open,high,low,close,tick_volume,real_volume
2021-09-24 10:00:00,113375.0,113820.0,113110.0,113130.0,514412,1939133
2021-09-24 11:00:00,113130.0,113580.0,113110.0,113350.0,489754,1783917
2021-09-24 12:00:00,113350.0,113780.0,113240.0,113725.0,377294,1378173
2021-09-24 13:00:00,113720.0,113740.0,113315.0,113520.0,410584,1527798
2021-09-24 14:00:00,113520.0,113750.0,113455.0,113750.0,179781,558670
2021-09-27 06:00:00,114080.0,114150.0,113120.0,113500.0,628954,2026205
2021-09-27 07:00:00,113495.0,113730.0,112870.0,113715.0,1000909,3597081
2021-09-27 08:00:00,113715.0,114020.0,113575.0,113765.0,699323,2679235
2021-09-27 09:00:00,113760.0,113880.0,113365.0,113555.0,533161,2052317
2021-09-27 10:00:00,113555.0,114115.0,113480.0,113830.0,483231,1928048
2021-09-27 11:00:00,113835.0,113920.0,113315.0,113495.0,449786,1871061
2021-09-27 12:00:00,113495.0,113660.0,112355.0,112855.0,713733,2925464
2021-09-27 13:00:00,112855.0,115115.0,112805.0,113715.0,601391,2423417
2021-09-27 14:00:00,113715.0,113830.0,113335.0,113400.0,234487,870941
2021-09-28 06:00:00,112555.0,112940.0,112270.0,112780.0,723428,2185562
2021-09-28 07:00:00,112780.0,113360.0,112430.0,112710.0,1144490,3887258
2021-09-28 08:00:00,112710.0,112800.0,111360.0,111520.0,1123999,3999219
2021-09-28 09:00:00,111520.0,111625.0,111050.0,111330.0,693502,2496164
2021-09-28 10:00:00,111325.0,111650.0,110875.0,110995.0,534619,1959239
2021-09-28 11:00:00,111000.0,111120.0,110270.0,110285.0,637964,2390777
2021-09-28 12:00:00,110285.0,110680.0,110105.0,110575.0,565724,2241308
2021-09-28 13:00:00,110570.0,110795.0,110205.0,110305.0,607990,2376482
2021-09-28 14:00:00,110310.0,110395.0,109980.0,110020.0,245231,892208
2021-09-29 06:00:00,110700.0,111355.0,110630.0,111145.0,804020,2468754
2021-09-29 07:00:00,111145.0,111440.0,110490.0,111295.0,1265371,4218896
2021-09-29 08:00:00,111295.0,111975.0,111240.0,111880.0,760532,2656880
2021-09-29 09:00:00,111875.0,112195.0,111590.0,111960.0,635445,2495857
2021-09-29 10:00:00,111965.0,112120.0,111460.0,111820.0,530358,2007587
2021-09-29 11:00:00,111825.0,111885.0,110845.0,111150.0,657492,2585122
2021-09-29 12:00:00,111150.0,111585.0,111005.0,111005.0,569938,2162921
2021-09-29 13:00:00,111010.0,111535.0,110880.0,111020.0,517069,2059858
2021-09-29 14:00:00,111020.0,111465.0,111005.0,111140.0,267996,903892
2021-09-30 06:00:00,111650.0,112365.0,111525.0,112120.0,669472,2141211
2021-09-30 07:00:00,112120.0,112475.0,111555.0,112220.0,1129410,3943864
2021-09-30 08:00:00,112225.0,112455.0,111710.0,111860.0,942769,3364816
2021-09-30 09:00:00,111860.0,112515.0,111530.0,111950.0,769312,2885097
2021-09-30 10:00:00,111950.0,112075.0,111010.0,111575.0,730611,2678674
2021-09-30 11:00:00,111570.0,111825.0,111215.0,111530.0,591890,2153734
2021-09-30 12:00:00,111530.0,111925.0,111280.0,111415.0,627255,2385443
2021-09-30 13:00:00,111415.0,111685.0,110640.0,110655.0,561918,2187156
2021-09-30 14:00:00,110655.0,110940.0,110460.0,110690.0,239558,820042
2021-10-01 06:00:00,111050.0,111345.0,110930.0,111290.0,693394,2210057
2021-10-01 07:00:00,111295.0,111980.0,111205.0,111795.0,948915,3383863
2021-10-01 08:00:00,111790.0,112140.0,111410.0,111790.0,991888,3672549
2021-10-01 09:00:00,111790.0,112425.0,111650.0,112215.0,725094,2658837
2021-10-01 10:00:00,112210.0,112400.0,112055.0,112290.0,400999,1531863
2021-10-01 11:00:00,112290.0,113065.0,112220.0,112950.0,493873,1990587
2021-10-01 12:00:00,112955.0,113150.0,112760.0,112845.0,410528,1692910
2021-10-01 13:00:00,112840.0,112995.0,112670.0,112760.0,382769,1586405
2021-10-01 14:00:00,112760.0,113120.0,112715.0,113120.0,235648,785872
2021-10-04 06:00:00,112300.0,112420.0,112000.0,112280.0,551647,1720335
2021-10-04 07:00:00,112280.0,112300.0,111235.0,111550.0,1044588,3644902
2021-10-04 08:00:00,111550.0,111620.0,110515.0,110690.0,956142,3614454
2021-10-04 09:00:00,110690.0,110820.0,109900.0,110370.0,725389,2813340
2021-10-04 10:00:00,110370.0,110450.0,110105.0,110250.0,502749,1974903
2021-10-04 11:00:00,110255.0,110435.0,110100.0,110235.0,506594,2024679
2021-10-04 12:00:00,110235.0,110570.0,110210.0,110380.0,541367,2106638
2021-10-04 13:00:00,110380.0,110640.0,110110.0,110420.0,626115,2395534
2021-10-04 14:00:00,110425.0,110475.0,110185.0,110400.0,252877,901205
2021-10-05 06:00:00,111070.0,111265.0,110655.0,110910.0,845352,2552726
2021-10-05 07:00:00,110915.0,111060.0,110060.0,110555.0,1288130,4283863
2021-10-05 08:00:00,110555.0,111020.0,110460.0,110800.0,901661,3325608
2021-10-05 09:00:00,110800.0,111645.0,110745.0,111570.0,706637,2834559
2021-10-05 10:00:00,111570.0,111815.0,111485.0,111550.0,456252,1752680
2021-10-05 11:00:00,111545.0,111630.0,111040.0,111095.0,518728,1978518
2021-10-05 12:00:00,111090.0,111260.0,110635.0,110935.0,564849,2208479
2021-10-05 13:00:00,110930.0,111170.0,110200.0,110305.0,535186,2113058
2021-10-05 14:00:00,110305.0,110570.0,110155.0,110300.0,243824,837378
2021-10-06 06:00:00,109290.0,109320.0,108210.0,108805.0,906286,2836548
2021-10-06 07:00:00,108805.0,109695.0,108715.0,108805.0,1355911,4645812
2021-10-06 08:00:00,108810.0,109265.0,108120.0,109230.0,1143491,4303921
2021-10-06 09:00:00,109225.0,109425.0,108660.0,109270.0,691933,2477951
2021-10-06 10:00:00,109275.0,109380.0,108515.0,109020.0,619951,2369838
2021-10-06 11:00:00,109025.0,109750.0,108725.0,109735.0,688983,2738284
2021-10-06 12:00:00,109735.0,110485.0,109585.0,110255.0,677553,2791092
2021-10-06 13:00:00,110255.0,110665.0,110215.0,110535.0,390482,1607168
2021-10-06 14:00:00,110540.0,110790.0,110445.0,110695.0,187587,719553
2021-10-07 06:00:00,111765.0,111765.0,110880.0,110935.0,721747,2281833
2021-10-07 07:00:00,110930.0,111135.0,110530.0,110895.0,1133180,3855612
2021-10-07 08:00:00,110895.0,111280.0,110575.0,111010.0,909322,3241573
2021-10-07 09:00:00,111005.0,111265.0,110635.0,111230.0,664336,2483911
2021-10-07 10:00:00,111230.0,111485.0,110955.0,111140.0,563371,2086649
2021-10-07 11:00:00,111140.0,111290.0,110735.0,110965.0,575781,2202485
2021-10-07 12:00:00,110970.0,111480.0,110850.0,110955.0,594904,2245414
